fac_item_number,item_ssic,facility_code,creation_date,process_status,error_message,request_id
250573787,0000573787,250,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25281150,0000081150,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25281150,0000081150,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
252130715,0000130715,252,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303707211,0000707211,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
303836686,0000836686,303,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
25159691,0000059691,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251567548,0000567548,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251994115,0000994115,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
251809072,0000809072,251,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30530946,0000030946,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
30532760,0000032760,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305242401,0000242401,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305939956,0000939956,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305338733,0000338733,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305833611,0000833611,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305518908,0000518908,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305521026,0000521026,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305594799,0000594799,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305127643,0000127643,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305116715,0000116715,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
305795105,0000795105,305,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904159798,0000159798,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904409076,0000409076,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904286099,0000286099,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904309596,0000309596,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90435873,0000035873,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437959,0000037959,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90437960,0000037960,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
90438019,0000038019,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904609703,0000609703,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904574905,0000574905,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904619978,0000619978,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904579592,0000579592,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
904615274,0000615274,904,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905970117,0000970117,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689258,0000689258,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905689260,0000689260,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
905127567,0000127567,905,2024-10-08 14:18:31.634701,E,Item and fac combination does not exist in Item Master,704
